{'Distance': 0, 'Set Size': 8, 'Mean': 0.4076110777998605, 'Min': 0.12362433543185622, 'Max': 1.0, 'Standard Deviation': 0.2588547949267566}
{'Distance': 1, 'Set Size': 53, 'Mean': 0.22015011746698368, 'Min': -0.07730640601834259, 'Max': 0.6754007361467311, 'Standard Deviation': 0.1763415365856653}
{'Distance': 2, 'Set Size': 142, 'Mean': 0.1255436930777405, 'Min': -0.06735194411504175, 'Max': 0.6618534010383874, 'Standard Deviation': 0.1428946230954346}
{'Distance': 3, 'Set Size': 805, 'Mean': 0.1046023217880443, 'Min': -0.15193232053508884, 'Max': 0.64439942943491, 'Standard Deviation': 0.1434595715247313}
{'Distance': 4, 'Set Size': 2123, 'Mean': 0.06421106770179505, 'Min': -0.19034005784802635, 'Max': 0.6754007361467311, 'Standard Deviation': 0.12193567675210454}
{'Distance': 5, 'Set Size': 3969, 'Mean': 0.054072963422528555, 'Min': -0.20428938638082852, 'Max': 0.6618534010383874, 'Standard Deviation': 0.11178689817640333}
{'Distance': 6, 'Set Size': 4659, 'Mean': 0.05638701726502826, 'Min': -0.20663516679367863, 'Max': 0.6618534010383874, 'Standard Deviation': 0.11435123972078529}
{'Distance': 7, 'Set Size': 4710, 'Mean': 0.06628735249508605, 'Min': -0.2077968024024776, 'Max': 0.6260400427941197, 'Standard Deviation': 0.11179241376565388}
{'Distance': 8, 'Set Size': 6002, 'Mean': 0.06404629433540342, 'Min': -0.1902690178538417, 'Max': 0.6618534010383874, 'Standard Deviation': 0.1062402224116633}
